Name,num_layers,units,Acc1,Acc2,Acc3,Acc4,Acc5,Avg
Beef,1,47,66.67,66.67,63.33,73.33,63.33,66.67
Beef,1,94,70.0,73.33,70.0,70.0,70.0,70.67
Beef,1,141,70.0,73.33,73.33,66.67,70.0,70.67
Beef,1,188,70.0,70.0,73.33,70.0,73.33,71.33
Beef,1,235,70.0,73.33,73.33,70.0,70.0,71.33
Beef,1,282,70.0,73.33,70.0,70.0,70.0,70.67
Beef,1,329,73.33,66.67,70.0,70.0,70.0,70.0
Beef,1,376,76.67,73.33,70.0,73.33,73.33,73.33
Beef,1,423,73.33,73.33,70.0,70.0,73.33,72.0
Beef,1,470,70.0,70.0,70.0,70.0,70.0,70.0
Beef,1,587,73.33,73.33,73.33,73.33,73.33,73.33
Beef,1,705,70.0,76.67,70.0,76.67,73.33,73.33
Beef,1,822,73.33,76.67,70.0,73.33,76.67,74.0
Beef,1,940,73.33,73.33,70.0,76.67,73.33,73.33
Beef,1,1410,73.33,73.33,70.0,73.33,73.33,72.66
Beef,1,1880,76.67,73.33,76.67,76.67,73.33,75.33
Beef,2,47,70.0,66.67,56.67,63.33,70.0,65.33
Beef,2,94,70.0,70.0,66.67,63.33,66.67,67.33
Beef,2,141,63.33,63.33,66.67,60.0,63.33,63.33
Beef,2,188,63.33,63.33,66.67,66.67,66.67,65.33
Beef,2,235,66.67,70.0,66.67,63.33,66.67,66.67
Beef,2,282,63.33,73.33,63.33,66.67,63.33,66.0
Beef,2,329,66.67,66.67,63.33,70.0,73.33,68.0
Beef,2,376,63.33,66.67,63.33,63.33,66.67,64.67
Beef,2,423,70.0,70.0,66.67,63.33,66.67,67.33
Beef,2,470,63.33,73.33,63.33,63.33,63.33,65.33
Beef,2,587,63.33,63.33,63.33,63.33,70.0,64.66
Beef,2,705,63.33,66.67,63.33,63.33,66.67,64.67
Beef,2,822,70.0,63.33,66.67,66.67,63.33,66.0
Beef,2,940,63.33,70.0,63.33,66.67,63.33,65.33
Beef,2,1410,66.67,63.33,66.67,66.67,66.67,66.0
Beef,2,1880,66.67,63.33,63.33,63.33,66.67,64.67
Beef,3,47,56.67,56.67,53.33,66.67,66.67,60.0
Beef,3,94,60.0,70.0,66.67,60.0,66.67,64.67
Beef,3,141,70.0,66.67,60.0,66.67,66.67,66.0
Beef,3,188,66.67,60.0,66.67,60.0,66.67,64.0
Beef,3,235,66.67,63.33,66.67,60.0,66.67,64.67
Beef,3,282,60.0,60.0,63.33,66.67,60.0,62.0
Beef,3,329,60.0,63.33,60.0,60.0,60.0,60.67
Beef,3,376,60.0,60.0,60.0,63.33,60.0,60.67
Beef,3,423,60.0,60.0,60.0,60.0,63.33,60.67
Beef,3,470,60.0,63.33,60.0,60.0,60.0,60.67
Beef,3,587,60.0,60.0,60.0,63.33,60.0,60.67
Beef,3,705,60.0,63.33,60.0,60.0,60.0,60.67
Beef,3,822,63.33,60.0,56.67,63.33,63.33,61.33
Beef,3,940,60.0,60.0,60.0,60.0,63.33,60.67
Beef,3,1410,60.0,60.0,63.33,66.67,66.67,63.33
Beef,3,1880,60.0,60.0,63.33,60.0,63.33,61.33
